127.0.0.1 - - [05/Oct/2022:02:14:36 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:14:54 +0300] "GET /jsp-servlet-hibernate-mysql-app/ HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:14:54 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:15:15 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:15:30 +0300] "GET /jsp-servlet-hibernate-mysql-app/new HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:15:52 +0300] "POST /jsp-servlet-hibernate-mysql-app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:15:52 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:15:57 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:15:59 +0300] "GET /jsp-servlet-hibernate-mysql-app/new HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:01 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:03 +0300] "GET /jsp-servlet-hibernate-mysql-app/new HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:04 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:05 +0300] "GET /jsp-servlet-hibernate-mysql-app/new HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:06 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:09 +0300] "GET /jsp-servlet-hibernate-mysql-app/edit?id=1 HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:18 +0300] "GET /jsp-servlet-hibernate-mysql-app/new HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:24 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:40 +0300] "GET /jsp-servlet-hibernate-mysql-app/new HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:56 +0300] "POST /jsp-servlet-hibernate-mysql-app/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:16:56 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:17:00 +0300] "GET /jsp-servlet-hibernate-mysql-app/edit?id=1 HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:17:07 +0300] "POST /jsp-servlet-hibernate-mysql-app/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:17:07 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:17:09 +0300] "GET /jsp-servlet-hibernate-mysql-app/edit?id=2 HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:17:10 +0300] "POST /jsp-servlet-hibernate-mysql-app/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:17:10 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [05/Oct/2022:02:17:12 +0300] "GET /jsp-servlet-hibernate-mysql-app/list HTTP/1.1" 200 1550
