127.0.0.1 - - [24/Aug/2022:16:44:49 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Aug/2022:16:44:57 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [24/Aug/2022:16:44:57 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Aug/2022:16:45:05 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [24/Aug/2022:17:09:27 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [24/Aug/2022:17:10:19 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 500 2663
0:0:0:0:0:0:0:1 - - [24/Aug/2022:17:10:45 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [24/Aug/2022:17:11:16 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [24/Aug/2022:17:12:13 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [24/Aug/2022:17:20:02 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [24/Aug/2022:17:21:10 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:05:48 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:06:35 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:10:08 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:20:55 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:36:48 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:37:16 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:39:31 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2453
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:41:57 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2453
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:48:53 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:49:03 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:52:46 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:53:55 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:54:44 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:55:50 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2583
0:0:0:0:0:0:0:1 - - [24/Aug/2022:18:57:10 +0300] "GET /HelloJSP/homepage.jsp HTTP/1.1" 200 2583
